2026-04-07 15:06:03.474 [info] Started local extension host with pid 27156.
2026-04-07 15:06:04.802 [error] [tht13.python]: 'configuration.jsonValidation.url' must be an absolute URL or start with './'  to reference schemas located in the extension.
2026-04-07 15:06:04.816 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-get-databases': Error: Tool "dbclient-get-databases" is already registered.
2026-04-07 15:06:04.817 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-get-tables': Error: Tool "dbclient-get-tables" is already registered.
2026-04-07 15:06:04.818 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-execute-query': Error: Tool "dbclient-execute-query" is already registered.
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: pug
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: sass
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: stylus
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.s3.url.temp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.874 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.s3.url.public` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.874 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.s3.openSite` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.874 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.file.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.874 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.file.upload` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.874 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.folder.upload` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.folder.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.bucket.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.path.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.file.download` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.rename` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.875 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.favorite` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.favorite.cancel` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.favorite.clear` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.fs.terminal` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.ftp.connect` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.stream.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.index.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.876 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.template.search` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.template.insert` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.template.update` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.template.aggregations` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.template.analyze` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.index.showSettings` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.877 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.index.mapping` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.index.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.es.restore` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mq.consume` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mq.produce` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.kafka.topic.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.878 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.kafka.topic.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.879 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.kafka.consumer.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.879 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.kafka.offset.setOffset` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.879 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.kafka.offset.resetOffset` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.879 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.keyValue.node.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.879 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.keyValue.node.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.keyValue.node.edit` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mongo.collection.insert` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mongo.collection.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mongo.dump` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mongo.restore` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.880 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.neo4j.browser` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.881 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.queue.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.881 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.queue.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.881 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.vhost.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.881 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.vhost.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.881 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.user.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.882 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.user.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.882 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.user.updatePassword` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.883 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.user.addRole` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.883 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.rabbit.role.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.884 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.connection.status` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.884 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.key.detail` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.884 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.key.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.884 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.key.del` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.885 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.dump` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.885 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.redis.restore` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.885 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.compose.run` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.885 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.node.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.886 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.886 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.id.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.886 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.open.ports` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.886 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.cleanUp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.886 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.restart` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.start` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.stop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.pause` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.unpause` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.inspect` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.887 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.showLogs` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.updateRestartPolicy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.showStats` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.container.terminal` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.cleanUp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.888 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.run` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.runDetach` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.pull` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.id.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.image.document` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.network.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.network.cleanUp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.889 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.volume.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.890 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.docker.volume.cleanUp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.890 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.ssh.connect` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.890 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.ssh.forward.port` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.892 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.ssh.user.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.892 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.ssh.user.delete` already registered by Database Client (cweijan.vscode-database-client2)
